feature,importance
atr_pct,0.5089930082669095
high_low_range,0.05792443452384402
return_2h,0.03981781081568963
stoch_k,0.02374882004774982
candle_upper_wick,0.02333463106496283
return_1h,0.01951169572238099
candle_lower_wick,0.016629080451607155
volume_zscore,0.015347155190397551
return_3h,0.015206810376316411
bb_width,0.014958585561241104
atr,0.014533349157505185
candle_body,0.014200721289707351
return_6h,0.010941838626647906
stoch_diff,0.01090475347862856
rsi_7,0.01005918363541016
ema_cross,0.009940016912929978
volatility_12h,0.008500108803821077
volatility_ratio,0.007934403016281356
stoch_d,0.007921847530742532
price_vs_ema20,0.007790586536013942
bb_position,0.007565706219214166
return_lag_3,0.007166695541241786
momentum_agreement,0.006900820347226109
volatility_6h,0.006640462818343372
volume_change_1h,0.006439181336082993
volume_price_momentum,0.006202048339699878
rsi_lag_3,0.006111713789660651
return_lag_1,0.006027986630633095
volatility_3h,0.005875466158069117
ema_cross_slope,0.005812008634995875
rsi_slope,0.0055690570351917944
macd_histogram,0.00533650923157906
volume_ma_6h,0.005335918744585352
return_24h,0.004862898725709926
rsi_lag_1,0.0048215166401133205
macd,0.004599731720451556
price_vs_ema50,0.004477340442018371
volume_change_3h,0.004427290359834837
return_12h,0.00439403690587844
volume_lag_2,0.004271603995138488
rsi_lag_2,0.004240523659722111
macd_signal,0.004147220833334072
return_lag_2,0.003918605786242519
volume_lag_1,0.003878679535952744
macd_hist_slope,0.003707239204054979
rsi_21,0.0036855473075894448
volume_lag_3,0.0034700757729206853
bb_lower,0.0030059789196177243
volume,0.0029364500774354727
rsi_14,0.00287270624118916
bb_upper,0.0018607301072149456
ema_20,0.001613036129307805
close_lag_3,0.0014984136574352058
ema_50,0.0014809292429697675
close_lag_2,0.0014243507735998478
low,0.0013518718371345558
high,0.001128876214453547
close,0.001114410110540778
bb_mid,0.0007148149823760315
close_lag_1,0.0006326021177768237
open,0.0002801028646765952
