feature,importance
atr_pct,0.6092493564689444
high_low_range,0.07136207673211142
return_2h,0.038201365860937135
stoch_k,0.028715989528906236
candle_body,0.020556717571795145
return_3h,0.015693757756410593
candle_upper_wick,0.015022670617063392
price_vs_ema20,0.01226582404287466
volume_zscore,0.011276686455108178
return_6h,0.011150547237623753
ema_cross,0.009744932584068942
bb_width,0.009178201741502552
return_1h,0.008345366090021898
atr,0.008138263807296833
momentum_agreement,0.007918932191277312
volume,0.007914798097481805
candle_lower_wick,0.007836228306647468
return_24h,0.006205839999721337
volatility_3h,0.00587782581716226
price_vs_ema50,0.005494316649952558
volatility_ratio,0.0054083052398039
volatility_12h,0.004798253344301216
volatility_6h,0.0044625120381904014
rsi_7,0.004457424026322903
ema_cross_slope,0.003961126037896885
volume_ma_6h,0.003909594808529181
return_lag_1,0.003610859973519748
stoch_diff,0.0033287183517170995
macd_histogram,0.00332729330067793
macd_hist_slope,0.002995340080115053
rsi_slope,0.0029846217087760372
bb_position,0.0027918771851497062
return_12h,0.0025977856639908
volume_lag_1,0.002545205105042201
rsi_lag_1,0.0025265179994307108
bb_lower,0.0024526784015177707
return_lag_3,0.0022833816591631005
volume_lag_2,0.002269729807909525
rsi_lag_3,0.002247890409167305
rsi_14,0.002215089475373037
volume_price_momentum,0.002051565780034304
macd,0.0020324747084458036
stoch_d,0.0020106297716472057
volume_change_3h,0.001943468607013681
volume_change_1h,0.0019410460769134941
macd_signal,0.001847805024965504
close,0.001654198914087309
rsi_21,0.00154004672790121
ema_50,0.0014454090716783396
volume_lag_3,0.001404780584401085
close_lag_3,0.0013033700170604256
bb_upper,0.0010306875554281082
rsi_lag_2,0.0009656796524041813
return_lag_2,0.0009477964770344724
bb_mid,0.0007375704528327304
high,0.0005258888895841924
low,0.0004696744263476337
close_lag_2,0.00046311458203466416
close_lag_1,0.00020450097971739357
open,0.00015638952696568186
ema_20,0.0
