feature,importance
atr_pct,0.33022438653477687
high_low_range,0.06819825922327505
return_2h,0.021753340454784813
price_vs_ema50,0.01750448922160853
stoch_k,0.01682524310763543
macd_hist_slope,0.015907860740715138
stoch_diff,0.015407804636724831
volume_change_3h,0.015195552270884795
return_3h,0.015190639875398078
bb_width,0.01515470370727951
volume,0.015100547247049532
price_vs_ema20,0.015056340787489953
return_lag_1,0.014871173869179417
volume_zscore,0.014294971266993035
volatility_6h,0.014139770948785735
volatility_ratio,0.013963351689360984
candle_upper_wick,0.013685540858593045
volume_lag_3,0.012957267266362123
volume_price_momentum,0.012879559153642906
rsi_7,0.012658833530498424
volume_change_1h,0.012525858305468927
return_lag_2,0.01245878564118382
stoch_d,0.012389955232072829
candle_lower_wick,0.012094246041407965
return_24h,0.011928777919730951
return_6h,0.011898768242046755
volume_lag_2,0.011826314488593883
volatility_3h,0.011595687874193005
atr,0.01155523052052761
rsi_slope,0.011040326703885474
volume_ma_6h,0.010949144283846114
ema_cross,0.010740491737759915
volatility_12h,0.010716846722401885
macd_signal,0.010419031153954952
return_12h,0.01015915802699247
ema_cross_slope,0.00980566305311237
return_1h,0.00977013626008529
rsi_lag_3,0.009738453726703586
return_lag_3,0.009336122388609064
candle_body,0.009318486441215804
rsi_lag_2,0.00921227705919587
volume_lag_1,0.009052811342337735
macd_histogram,0.00873857848523282
bb_position,0.008698470348084547
rsi_14,0.008136954096314358
rsi_lag_1,0.007043930127683889
rsi_21,0.006804779150038832
macd,0.006512467098909992
ema_50,0.006186320397906292
bb_lower,0.005017142191144645
ema_20,0.004843726304812242
bb_upper,0.004600601920600197
close,0.004209661013248864
close_lag_2,0.003678138174024017
low,0.0033054872444197446
high,0.00317067881966344
bb_mid,0.003155029375361422
close_lag_3,0.0029985189165534485
close_lag_1,0.0020743189438961673
open,0.0009110553557962185
momentum_agreement,0.0004119324799443245
