feature,importance
high_low_range,0.2790876181734182
rolling_volatility_6h,0.20453028004889576
candle_body,0.06507228618527959
return_6h,0.06299696419357431
return_3h,0.05720079060761746
volume,0.05002342936331216
return_1h,0.04796469790557896
macd_signal,0.035441901027324085
macd,0.03151899316164101
close,0.022353813576171742
rsi,0.02222812747959012
ema_20,0.02200813877371353
high,0.02119234851494898
ema_50,0.021160233074997623
volume_change,0.019783191236128664
low,0.019257665195117832
open,0.018179521482690045
