feature,importance
high_low_range,0.24161935397050238
rolling_volatility_6h,0.18635498042168713
volume,0.09013432500452435
return_6h,0.05710750708695729
return_3h,0.05559225025765767
candle_body,0.041007226457129675
return_1h,0.03806252783816541
ema_50,0.03714286945793866
macd_signal,0.03501596684602862
ema_20,0.03193309651257043
macd,0.030531579936859385
close,0.029751994592161313
low,0.02899489426285886
open,0.0247829981860446
rsi,0.024414060243225757
high,0.02380149628844814
volume_change,0.023752872637240335
