feature,importance
high_low_range,0.10266542085450212
rolling_volatility_6h,0.10233181565343721
volume,0.07015106696824078
return_6h,0.06204181035555334
return_3h,0.059940334864024176
rsi,0.0596867562692432
volume_change,0.05797714585765501
macd_signal,0.05748951248592957
macd,0.05323912778278459
ema_50,0.04997319879730693
ema_20,0.04956494463474789
candle_body,0.04947592888165121
return_1h,0.04880243760260153
low,0.045175023476760424
open,0.04507867954118562
close,0.043717917503628634
high,0.04268887847074771
